"instagram","nazwa","miasto","email","email_status","telefon","telefon_status","lokal_status","osoba","www","uwaga","zrodlo"
"glodna_malpa","Głodna Małpa","Kielce","","BRAK","518 142 404","OK","OK","","https://glodnamalpa.pl/","","https://glodnamalpa.pl/kielce/"
"ciachobezcukru","Ciacho bez Cukru","Lublin","kontakt@ciachobezcukru.pl","OK","575 565 001","OK","OK","","https://ciachobezcukru.pl","","https://ciachobezcukru.pl"
"rzeszowskiekulinaria","Rzeszowskie Kulinaria","Rzeszów","biuro@rzeszowskiekulinaria.pl","OK","799 900 680","OK","OK","","https://rzeszowskiekulinaria.pl/","","https://rzeszowskiekulinaria.pl/"
"rzeszuff","Restauracja Rzeszuff","Rzeszów","","BRAK","+48 781 456 016","OK","OK","","https://rzeszuff.pl","","https://rzeszuff.pl/kontakt"
"chisza_nad_zalewem","Chisza nad Zalewem","Lublin","zalew@chisza.pl","OK","+48 81 465 22 77","OK","OK","","https://chisza-zalew.pl/","","https://chisza-zalew.pl/"
"dirtyjoe_lublin","Dirty Joe Lublin","Lublin","kontakt@dirtyjoe.pl","OK","","BRAK","OK","","https://dirtyjoe.pl","","https://dirtyjoe.pl/"
"zawijane_cinnamonrolls_lublin","Zawijane Cinnamon Rolls Bakery","Lublin","","BRAK","","BRAK","","","","",""
"lepetitreve2020","Le Petit Reve Piekarnia Kawiarnia","Rzeszów","info@lepetitreve.pl","OK","501 470 079","OK","OK","","https://lepetitreve.pl/","","https://lepetitreve.pl/"
"sandomierska.manufaktura.lodow","Sandomierska Manufaktura Lodów","Lublin","","BRAK","+48 693 953 909","OK","INNY","","https://www.facebook.com/sandomierskamanufakturalodow/","strona wskazuje miasto Sandomierz a nie Lublin","https://local-food.pl/sandomierz/sandomierska-manufaktura-lodow/"
"mraucafe","Mrau Cafe","Lublin","","BRAK","+48 502 220 405","OK","OK","","https://mraucafe.pl/","","https://biznes-top.pl/lublin/kawiarnia/mrau-cafe/"
"ima_sushi_rzeszow","Ima Sushi","Rzeszów","rzeszow@imasushi.pl","OK","+48 606 440 888","OK","OK","","https://imasushi.pl","","https://imasushi.pl/kontakt/"
"sapori899_rzeszow","Sapori di Napoli","Rzeszów","restauracja@sapori.pl","OK","+48 513 513 573","OK","OK","","https://sapori.pl","","https://sapori.pl/"
"dara_kebab","DARA Kebab","Rzeszów","kontakt@darakebab.pl","OK","17-853-87-97","OK","OK","","https://darakebab.pl","","https://darakebab.pl/?strona=kontakt&lang=pl"
"rykowiskolublin","Pizzeria Rykowisko","Lublin","","BRAK","511-768-020","NIE","OK","","","","https://www.facebook.com/rykowiskolublin/"
"starypiernik","Stary Piernik","Rzeszów","biuro@stary-piernik.pl","OK","17 25 000 78","OK","OK","","https://stary-piernik.pl/","","https://stary-piernik.pl/kontakt/"
"smash_chickz","Smash&Chickz","Lublin","kontakt@smashnchickz.pl","NIE","889 889 005","OK","OK","","https://smashnchickz.pl/","e-mail na stronie zasłonięty (cloudflare email-protection) - nie potwierdzono treści","https://smashnchickz.pl/kontakt/"
"biancaeliviapizza","Bianca e Livia BeL Pizza Napoletana","Lublin","","BRAK","+48 574 747 767","OK","OK","Wojciech Kwiatkowski","https://bellublin.pl/","","https://bellublin.pl/"
"restauracjafuente","Fuente Restaurant & Tapas Bar","Rzeszów","manager@restauracjafuente.pl","OK","17 777 12 20","OK","OK","","https://restauracjafuente.pl/","","https://restauracjafuente.pl/kontakt/"
"hamsakazimierzdolny","Hamsa","Kazimierz Dolny","","BRAK","536 248 000","OK","OK","","","","https://hotelekazimierzdolny.pl/restauracje/hamsa-resto"
"zori_sushi_restaurant","Zori Sushi","Rzeszów","","BRAK","+48 17 862 72 10","OK","OK","","https://www.zorisushi.pl/","","https://pl.near-place.com/zori-sushi-3-maja-3-rzeszow"
"restauracja.mandragora","Mandragora","Lublin","mandragorarestauracja@gmail.com","OK","+48 81 536 20 20","OK","OK","Izabela Kozłowska-Dechnik","https://mandragora.lublin.pl/","","https://mandragora.lublin.pl/kontakt/"
"michele_arcangelo_pizzeria","Michele Arcangelo Pizzeria","Biała Podlaska","rychlikmisiek@gmail.com","OK","+48 696 930 666","NIE","OK","Michał Rychlik","","strona AVPN pokazuje inny numer (numer organizacji AVPN we Włoszech) nie numer właściciela","https://www.pizzanapoletana.org/en/associati/860-michele_arcangelo_pizzeria"
"cafe_mari","Cafe Mari","Lublin","biuro@cafemari.pl","OK","+48 533 779 442","OK","OK","","https://cafemari.pl/","","https://cafemari.pl/bistro.html"
"aromacaffee","AROMA COFFEE","Warszawa","biuro@aromatkawy.com","OK","+48 692 268 635","OK","OK","","https://aromatkawy.com/","","https://aromatkawy.com/kontakt/"
"perlowapijalniapiwa","Perłowa Pijalnia Piwa","Lublin","perlowa@perla.pl","OK","81 710 12 05","OK","OK","","https://perlowapijalniapiwa.pl/","","https://perlowapijalniapiwa.pl/kontakt/"
"osama_sushi_rzeszow","Osama Sushi","Rzeszów","kontakt@osamasushi.com","NIE","453 141 042","NIE","INNY","","https://osamasushi.com/","strona /pl to ogólny landing page bez danych kontaktowych i bez potwierdzenia miasta Rzeszów","https://osamasushi.com/pl"
"pstragowo","Pstrągowo","Chełm","grzegorzjakimiak@wp.pl","OK","+48 692 302 285","OK","OK","Grzegorz Jakimiak","https://pstragowo.eatbu.com/","","https://pstragowo.eatbu.com/"
"zyto.rest","Zyto","Lublin","","BRAK","","BRAK","","","","",""
"unopizzanapoletana","UNO Pizza Napoletana","Kielce","","BRAK","789 106 644","OK","OK","","https://unopizzanapoletana.pl/","","https://unopizzanapoletana.pl/kontakt"
"the_optimist_lublin","The Optimist","Lublin","2025theoptimist@gmail.com","NIEDOSTEPNE","+48 512 738 611","NIEDOSTEPNE","NIEDOSTEPNE","Łukasz Chwyć","","gowork.pl zwrócił błąd 403 Forbidden","https://www.gowork.pl/the-optimist-lukasz-chwyc,27137825/dane-kontaktowe-firmy"
"canottolublin","Canotto","Lublin","","BRAK","","BRAK","","Radosław Staszczak","","","https://www.gowork.pl/canotto-radoslaw-staszczak,26350885/dane-kontaktowe-firmy"
"munchieslublin","Munchies Lublin","Lublin","kontakt@munchies.pl","OK","+48 574 600 108","OK","OK","","https://www.munchies.pl","","https://www.munchies.pl/kontakt"
"siedemcztery.pizza","SiedemCztery Pizza","Łuków","siedemczterypizza@gmail.com","OK","578 037 436","OK","INNY","","https://pizza74.pl","adres na stronie to Łukawiec 189 a nie Łuków - prawdopodobnie siedziba produkcji zamiast punktu w Łukowie","https://pizza74.pl/zamow/"
"czarna_owca_gastro_pub","Czarna Owca Gastro Pub","Lublin","czarnaowcagastropub@gmail.com","NIE","+48 81 532 41 30","NIE","OK","","http://www.czarnaowcagastropub.pl/","strona lublin.eu to katalog miejski - nie podaje maila ani telefonu tego lokalu","https://lublin.eu/turystyka/lublin-smakow/puby/czarna-owca-gastro-pub,8921,w.html"
"kawiarnia.niewylej","Nie Wylej","Lublin","niewylej@gmail.com","OK","+48 797 107 722","OK","OK","","https://niewylej.pl/","","https://niewylej.pl/"
"greenhousebistroweganskie","GreenHouse Bistro Wegańskie","Lublin","","BRAK","570 631 763","NIE","INNY","Grzegorz Majocha","https://www.greenhousebistroweganskie.pl/","strona 24jgora.pl dotyczy lokalu w Jeleniej Górze a nie w Lublinie - podejrzenie błędnych danych źródłowych","https://24jgora.pl/firma/greenhouse-bistro-weganskie-m32384"
"osteriabellanuna_rzeszow","Osteria Bellanuna","Rzeszów","osteria@bellanuna.pl","OK","+48 515 516 500","OK","OK","Rafał Krępa","https://bellanuna.pl","","https://bellanuna.pl/kontakt/"
"freshjuicekielce","Fresh Juice Kielce","Kielce","","BRAK","","BRAK","","","","",""
"nabutok_sushi_rz","Nabutok Sushi","Rzeszów","","BRAK","+48 788 809 333","NIE","OK","","https://rzeszow.nabutok.com.pl/","strona wolt.com obcięta - nie udało się zweryfikować telefonu w pełnej treści","https://wolt.com/en/pol/rzeszow/restaurant/nabutok-sushi"
"capo_pizza_cucina_italiana","Capo Pizza Cucina Italiana","Lublin","","BRAK","+48 789 262 409","OK","OK","","","","https://restaurantguru.com/Pizzeria-Capo-Lublin"
"dlaprzyjaciol","Dla Przyjaciół Diana","Biała Podlaska","catering@catering-diana.pl","OK","502 631 863","OK","OK","","https://www.catering-diana.pl/dla-przyjaciol-diana","","https://www.catering-diana.pl/kontakt"
"milosc_speciality","MIŁOŚĆ Kawiarnia","Warszawa","","BRAK","","BRAK","","","","",""
"co_slodkie_to_dobre","Co słodkie, to dobre (Magdalena Bełniak)","Lublin","","BRAK","","BRAK","","Magdalena Bełniak","","","https://panoramafirm.pl/lubelskie,,lublin,popieluszki,28d_lok._2/co_slodkie_to_dobre_magdalena_belniak-zyppps_sjj.html"
"almetro.rzeszow","Al Metro","Rzeszów","kontakt@almetro.pl","OK","+17 859 00 92","OK","OK","Joanna & Jerzy Wdowiarz","https://almetro.pl","","https://almetro.pl/kontakt/"
"swietyspokoj_cafe","Święty Spokój Music Cafe","Lublin","swietyspokojcafe@gmail.com","OK","+48533324488","OK","OK","","","","https://swiety-spokoj-music-cafe.eatbu.com/?lang=pl"
"slodkiebistro","Słodkie Bistro","Lublin","","BRAK","+48 576 567 815","OK","OK","Daniel Jaszczyński","https://www.facebook.com/slodkiebistro/","","https://cafenoir.pl/lublin/s%C5%82odkie-bistro/"
"burger_boy_rzeszow","Burger Boy","Rzeszów","","BRAK","+48 794 955 497","OK","OK","","https://burgerboy.order.dish.co/menus","","https://restaurantguru.com/Burger-Boy-Rzeszow-Rzeszow"
"corka_piekarza_lublin","Córka Piekarza","Lublin","","BRAK","","BRAK","","","https://www.instagram.com/corka_piekarza_lublin/","",""
"encepencepizzeria","EncePence Pizzeria","Lublin","info@encepence-pizza.pl","OK","81 444 96 00","OK","OK","","https://encepence-pizza.pl/","","https://encepence-pizza.pl/kontakt"
"kawiarniakawalek","Kawałek Specialty Coffee","Lublin","kawiarnia@kawiarniakawalek.pl","OK","513 172 939","NIE","INNY","","https://kawiarniakawalek.pl","strona kawowamapa.pl dotyczy kawiarni Kawałek w Warszawie (Łucka 18) a nie w Lublinie","https://www.kawowamapa.pl/kawiarni/kawiarnia-kawalek/"
"hoshi_sushi_restaurant","Hoshi Sushi","Rzeszów","","BRAK","+48 666 266 004","OK","OK","","https://www.hoshisushi.pl/","","https://www.hoshisushiramen.pl/kontakt"
"cafepietro","Piętro Cafe","Rzeszów","","BRAK","","BRAK","","","","",""
"kaslik.kazimierzdolny","Restauracja Kaslik","Kazimierz Dolny","restauracja@kaslik.pl","OK","667 862 804","OK","OK","","https://kaslik.pl/","","https://kaslik.pl/"
"creamycafelublin","Creamy Cafe","Lublin","","BRAK","+48 885 362 555","OK","OK","","https://web.facebook.com/CreamyCafeLublin/","","https://cafenoir.pl/lublin/creamy-cafe/"
"missione.pizza.rzeszow","Missione Pizza","Rzeszów","","BRAK","+48 506 674 777","OK","OK","Piotr Rygiel","https://missione.pl/","","https://missione.pl/"
"goodmood.lublin","Good Mood bistro cafe","Lublin","","BRAK","+48 730 270 980","OK","OK","","https://www.facebook.com/Good-Mood-106332065025198/","","https://przemekszczotko.pl/lublin/good-mood-bistro-cafe/"
"whitebearcoffeelublin","White Bear Coffee Lublin","Lublin","manager@whitebearcoffee.pl","OK","+48 451 209 784","NIE","OK","Łukasz Kaliciński","https://thewhitebearcoffee.pl/","telefon na stronie inny (531 161 476); strona nie precyzuje wprost Lublina (wiele lokalizacji firmy)","https://thewhitebearcoffee.pl/kontakt"
"bulkaikromka","Bułka i Kromka","Lublin","info@adampol.info","OK","+48 730 777 541","OK","INNY","","https://bulkaikromka.pl/","adres na stronie to Świdnik a nie Lublin","https://bulkaikromka.pl/kontakt/"
"restauracjawietnamskalublin","Phúc Lublin","Lublin","","BRAK","","BRAK","","","","",""
"u_fotografa","U Fotografa Craft Beer Pub","Lublin","ufotografa@gmail.com","OK","81 710 73 41","OK","OK","","ufotografa.pl","","https://ufotografa.pl/kontakt/"
"royalchocolat_","Royal Chocolat","Lublin","info@royalchocolat.com","NIE","883 911 661","NIE","INNY","Arkadiusz Sokołowski","royalchocolat.com","zrodlo (panoramafirm.pl) to strona główna katalogu bez profilu firmy; alternatywna royalchocolat.com ma błąd certyfikatu (przekierowuje do ibif.pl) - nie udało się zweryfikować","https://panoramafirm.pl/"
"kalyna.lublin","Kalyna Kuchnia Ukraińska","Lublin","theborschlublin@gmail.com","OK","+48 517 575 687","OK","OK","Roman Krasovskyi","kalynalublin.pl","","https://kalynalublin.makro.rest/"
"lodyportofino","Lodziarnia Portofino","Lublin","","BRAK","81 750 03 90","OK","OK","","","","https://lublin.eu/turystyka/lublin-smakow/lodziarnie/"
"parownia_dim_sum_lublin","Parownia Dim Sum Bar","Lublin","","BRAK","","BRAK","","","parownia.com.pl","",""
"piekarnia_otwarta","Piekarnia Otwarta","Lublin","piekarnia@otwarta.eu","OK","784 445 511","OK","OK","","otwarta.eu","","https://piekarniaotwarta.orderye.pl/cooperation"
"red_rock_city","Red Rock City","Lublin","","BRAK","","BRAK","","","redrockcitylublin.pl","","https://www.redrockcitylublin.pl/"
"abcpizzalublin","ABC Pizza Lublin","Lublin","","BRAK","","BRAK","","","","",""
"masami_lublin","Masami / Josei Sushi","Lublin","","BRAK","","BRAK","","","masamisushi.pl","",""
"pubuszewca","Irish Pub u Szewca","Lublin","info@uszewca.pl","OK","+48 505 385 844","OK","OK","Paweł Klauda","uszewca.pl","","https://uszewca.pl/"
"namasthai_restauracja","Namasthai","Lublin","","BRAK","","BRAK","","","","",""
"cukierniawilliams","Cukiernia Williams","Lublin","","BRAK","+48 502 548 024","OK","OK","","williams.pl","","https://restaurantguru.com/Cukiernia-Williams-Lublin"
"cafebabyhouse_lublin","Cafe Baby House","Lublin","","BRAK","","BRAK","","","","",""
"crazybubble_lublin_vivo","Crazy Bubble Lublin (Vivo)","Lublin","info@crazybubble.pl","OK","+48 666 561 361","OK","INNY","","crazybubble.pl","strona podaje siedzibę firmy w Zabrzu a nie punkt w Lublinie (Vivo)","https://crazybubble.pl/kontakt"
"trattoria.bagatto.pizzeria","Trattoria Bagatto Pizzeria","Lublin","","BRAK","","BRAK","","","","",""
"lavistapizza","La Vista Pizza","Lublin","","BRAK","573 827 890","OK","OK","","https://www.instagram.com/lavistapizza","","https://lublin360.pl/firma/la-vista-pizza/"
"johnnysmashburger.pl","Johnny Smash Burger","Lublin","","BRAK","571 533 259","OK","OK","","","","https://lublin360.pl/firma/johnny-smash-burger/"
"kamienica_bistro_cafe","Kamienica bistro&cafe","Lublin","","BRAK","+48 608 379 052","OK","INNY","","","strona dotyczy lokalu w Lublińcu (Śląskie) a nie w Lublinie","https://restauracjeblisko.pl/?page_id=85766"
"cafepatisserie_lublin","Cafè Pâtisserie","Lublin","","BRAK","","BRAK","","","","",""
"cyngwajs.lbn","Cyngwajs","Lublin","cyngwajspl@interia.pl","OK","531711111","OK","OK","","https://cyngwajs.pl","","https://cyngwajs.mikrowitryna.pl/"
"tutti.gusti.lublin","Tutti Gusti Lublin Pizza Pasta","Lublin","","BRAK","81 781 91 19","OK","OK","","www.tuttigusti.pl","","https://lublin360.pl/firma/tutti-gusti/"
"pizzaraggio7","Pizza Raggio 7","Lublin","","BRAK","790 337 388","OK","OK","","","","https://lublin360.pl/firma/pizza-raggio-7/"
"plackarniapl","Plackarnia","Lublin","","BRAK","690 919 006","OK","OK","","https://www.plackarnia.pl","","https://lublin360.pl/firma/plackarnia/"
"lu.8lin","Lu'Blin Naleśniki i Kawa","Lublin","","BRAK","","BRAK","","","","",""
"hanoinu.lublin","Hanoi n U","Lublin","keny.levan@gmail.com","OK","660496896","OK","OK","","https://hanoinu.pl","","https://hanoinu.pl"
"takimykfoodtruck","Taki Myk! Food Truck","Lublin","","BRAK","790 509 780","OK","OK","","https://taki-myk.pl","","https://lublin360.pl/firma/taki-myk/"
"cafeinsieme","Cafe Insieme","Lublin","","BRAK","","BRAK","","","","",""
"chatka_cafe","Chatka Café","Lublin","","BRAK","","BRAK","","","","",""
"nalesnikarniazadora","Zadora Nalesnikarnia Francuska","Lublin","","BRAK","","BRAK","","","","",""
"slodkoslodkolublin","Słodko Słodko","Lublin","","BRAK","","BRAK","","","","",""
"hyziakgastrobar","Hyziak GastroBar","Lublin","hyziakszymon@gmail.com","OK","+48 574 018 840","OK","OK","Szymon Hyziak","https://hyziakgastrobar.eatbu.com/","","https://hyziakgastrobar.eatbu.com/"
"munchiesstreetfood","Munchies Street Food","Lublin","kontakt@munchies.pl","OK","+48 574 600 108","OK","OK","","https://www.munchies.pl","ta sama strona/dane co Munchies Lublin (wpis zduplikowany w arkuszu)","https://www.munchies.pl/kontakt"
"cukierniachmielewski","Cukiernia Chmielewski","Lublin","cukiernia@chmielewski.lublin.pl","OK","81 532 73 23","OK","OK","","https://chmielewski.lublin.pl","","https://chmielewski.lublin.pl/kontakt/"
"lody_amore_mio","Amore Mio Lody Produkcji Własnej","Lublin","","BRAK","","BRAK","","","","",""
"holatacoslublin","Hola Tacos","Lublin","","BRAK","","BRAK","","","","",""
"indyjskie_curry_restauracja","Indyjskie Curry","Lublin","","BRAK","","BRAK","","","","",""
"wedel_lublin","Pijalnia Czekolady E.Wedel Lublin","Lublin","","BRAK","","BRAK","","","","",""
"kebab_turecki","Kebab Turecki Lublin","Lublin","","BRAK","","BRAK","","","","",""
"maxipizzalublin","Maxi Pizza Lublin","Lublin","","BRAK","","BRAK","","","","",""
"hotelbrowarlwow","Hotel Restauracja Browar Lwów","Lublin","","BRAK","","BRAK","","","","",""
"palarniakawytakawa","Palarnia Kawy Takawa","Lublin","biuro@takawa.pl","OK","+48 536520887","OK","OK","","https://kupkawe.pl","","https://kupkawe.pl/"
"dostanakebab.lublin","Dostana Kebab","Lublin","","BRAK","","BRAK","","","","",""
"centralparklublin","Kawiarnia Central Park","Lublin","","BRAK","","BRAK","","","","",""
"mimi_pizza_lublin","Mimi Pizza","Lublin","","BRAK","","BRAK","","","","",""
"okopovacafe","Okopova Cafe","Lublin","","BRAK","","BRAK","","","","",""
"### NOTATKI","","","","BRAK","","BRAK","","","","",""
"Najjasniejszy kontakt do wlasciciela maja lokale prowadzone pod imieniem i nazwiskiem albo jednoosobowa firma: Co slodkie to dobre (Magdalena Belniak)","The Optimist (Lukasz Chwyc)","Canotto (Radoslaw Staszczak)","Slodkie Bistro (Daniel Jaszczynski)","NIESPRAWDZONY","Hyziak GastroBar (Szymon Hyziak) i Al Metro (Joanna i Jerzy Wdowiarz) - tam mail trafia wprost do decydenta.","NIESPRAWDZONY","","","","",""
"Druga grupa to lokale autorskie z nazwiskiem szefa wyeksponowanym na stronie O nas lub w wywiadach: Queen Mama i Sexy Duck (Enzo Muratore)","Bianca e Livia (Wojciech Kwiatkowski)","Mandragora (Izabela Kozlowska-Dechnik)","Michele Arcangelo (Michal Rychlik)","NIESPRAWDZONY","Osteria Bellanuna (Rafal Krepa)","NIESPRAWDZONY","","Kalyna (Roman Krasovskyi)","Royal Chocolat (Arkadiusz Sokolowski)","","Irish Pub u Szewca (Pawel Klauda) i Pstragowo (Grzegorz Jakimiak)."
"Sieci i lokale hotelowe (Dobra Paczkarnia","Perlowa Pijalnia Piwa","Crazy Bubble","Da Grasso","NIESPRAWDZONY","Piri-Piri Kebab) maja maile centralne typu biuro@ lub kontakt@ - pisac tam warto","NIESPRAWDZONY","","nie przez managera lokalu.","ale decyzja o lojalnosci idzie przez marketing","",""
"Najslabsze leady to kawiarnie i cukiernie prowadzone wylacznie przez Instagram i Facebooka (Zawijane Cinnamon Rolls","Mrau Cafe","Fresh Juice Kielce","Zyto","NIESPRAWDZONY","Sandomierska Manufaktura Lodow) - brak strony WWW i brak jakiegokolwiek publicznego maila","NIESPRAWDZONY","","","tu jedyna droga to DM na IG.","",""
"Dla ok. 30 pozycji mamy tylko telefon - to nadal dobry lead do cold callu","bo w malej gastronomii numer podany na stronie zwykle odbiera wlasciciel albo manager zmiany.","","","BRAK","","BRAK","","","","",""
